"TaskModel","commonRatio","distinguishTypes","examplesGeometric","explicitGeometric","extendGeometric","modelGeometric","recursiveRuleGeometric","tableGeometric","verbalGeometric","visualGeometric","Anchor","Tasks"
"commonRatioTask","+","0","0","0","0","0","0","0","0","0","commonRatio","1a,b, 2a,b, 3a,b"
"examplesGeometricTask","0","0","+","0","0","0","0","0","0","0","examples","1a,b, 2a,b, 3a,b"
"explicitGeometricTask","0","0","0","+","0","0","0","0","0","0","explicit","1a,b, 2a,b, 3a,b"
"extendGeometricTask","0","0","0","0","+","0","0","0","0","0","extend","1a,c,  2a,c, 3a,b"
"solveGeometricProblemsTask","0","+","0","0","0","0","0","0","0","0","distinguish","1a,b, 2a,b, 3a,b"
"modelExtendTableGeometricTask","0","0","0","0","+","++","0","+","0","0","model","1a,b, 2a,b, 3a,b"
"recursiveRuleGeometricTask","0","0","0","0","0","0","+","0","0","0","recursive","1a,b, 2a,b, 3a,b"
"tableExtendGeometricTask","0","0","0","0","+","0","0","++","0","0","table","1a,b, 2a,b, 3a,b"
"verbalRuleExplicitModelGeometricTask","0","0","0","+","0","+","0","0","++","0","verbal","2a, 3a"
"verbalRuleExtendModelGeometricTask","0","0","0","0","+","+","0","0","++","0","verbal","1a,b, 2a"
"verbalRuleModelGeometricTask","0","0","0","0","0","+","0","0","++","0","verbal","3a"
"visualExplicitVerbalRuleModelGeometricTask","0","0","0","+","0","+","0","0","+","++","visual","3a, 3b"
"visualExtendGeometricTask","0","0","0","0","+","0","0","0","0","++","visual","1a,b,c, 2a, 3a"
"visualExtendTableModelVerbalRuleGeometricTask","0","0","0","0","+","+","0","+","+","++","visual","2a"
"visualExtendVerbalRuleModelGeometricTask","0","0","0","0","+","+","0","0","+","++","visual","2a"
