skill,kappa,lambda,B.L,B.M,B.H
solveGeometricProblems,0.493,0.214,141,15,4
 , , ,14,14,8
 , , ,4,10,20
commonRatio,0.608,0.605,0,0,0
 , , ,0,85,29
 , , ,0,16,100
examplesGeometric,0.71,0.474,181,3,8
 , , ,2,0,1
 , , ,3,3,29
extendGeometric,0.531,0.414,7,13,0
 , , ,2,55,22
 , , ,1,20,110
modelGeometric,0.299,-0.059,186,7,3
 , , ,16,8,2
 , , ,5,3,0
recursiveRuleGeometric,0.463,0.32,103,19,5
 , , ,27,41,5
 , , ,4,10,16
tableGeometric,0.439,0.323,124,6,4
 , , ,17,7,5
 , , ,30,3,34
verbalGeometric,0.24,-0.8,198,2,15
 , , ,3,1,0
 , , ,6,1,4
visualGeometric,0.405,0.068,173,9,4
 , , ,11,3,1
 , , ,11,5,13
